yr,sex,FirstForename,number,rank,position
2000,B,Cooper,3,429,  429=
2000,B,Cormac,3,429,  429=
2000,B,Damian,3,429,  429=
2000,B,Dara,3,429,  429=
2000,B,Darrel,3,429,  429=
2000,B,Devin,3,429,  429=
2000,B,Devlin,3,429,  429=
2000,B,Eamon,3,429,  429=
2000,B,Fionn,3,429,  429=
2000,B,Forbes,3,429,  429=
2000,B,Gerald,3,429,  429=
2000,B,Gianluca,3,429,  429=
2000,B,Haaris,3,429,  429=
2000,B,Haris,3,429,  429=
2000,B,Haroon,3,429,  429=
2000,B,Hisham,3,429,  429=
2000,B,Hugo,3,429,  429=
2000,B,Ieuan,3,429,  429=
2000,B,Ivan,3,429,  429=
2000,B,Jac,3,429,  429=
2000,B,Jaden,3,429,  429=
2000,B,Jakob,3,429,  429=
2000,B,Jevan,3,429,  429=
2000,B,Jody,3,429,  429=
2000,B,Joey,3,429,  429=
2000,B,Jonas,3,429,  429=
2000,B,Ka,3,429,  429=
2000,B,Kain,3,429,  429=
2000,B,Kal,3,429,  429=
2000,B,Kaleb,3,429,  429=
2000,B,Kalib,3,429,  429=
2000,B,Kallum,3,429,  429=
2000,B,Keelan,3,429,  429=
2000,B,Keigan,3,429,  429=
2000,B,Kyran,3,429,  429=
2000,B,Lachlann,3,429,  429=
2000,B,Lauchlan,3,429,  429=
2000,B,Mikey,3,429,  429=
2000,B,Miller,3,429,  429=
2000,B,Nathanael,3,429,  429=
2000,B,Nathyn,3,429,  429=
2000,B,Nicky,3,429,  429=
2000,B,Nicolas,3,429,  429=
2000,B,Oran,3,429,  429=
2000,B,Ossian,3,429,  429=
2000,B,Paolo,3,429,  429=
2000,B,Pierce,3,429,  429=
2000,B,Quinn,3,429,  429=
2000,B,Rahul,3,429,  429=
2000,B,Ramzan,3,429,  429=
2000,B,Rennie,3,429,  429=
2000,B,Rhonan,3,429,  429=
2000,B,Rikki,3,429,  429=
2000,B,Robb,3,429,  429=
2000,B,Roy,3,429,  429=
2000,B,Ry,3,429,  429=
2000,B,Seumas,3,429,  429=
2000,B,Shaan,3,429,  429=
2000,B,Shoaib,3,429,  429=
2000,B,Spencer,3,429,  429=
2000,B,Stevie,3,429,  429=
2000,B,Umar,3,429,  429=
2000,B,Xavier,3,429,  429=
2000,B,Aamir,2,514,  514=
2000,B,Aaran,2,514,  514=
2000,B,Aarryn,2,514,  514=
2000,B,Adhamh,2,514,  514=
2000,B,Airan,2,514,  514=
2000,B,Ajay,2,514,  514=
2000,B,Alban,2,514,  514=
2000,B,Alessandro,2,514,  514=
2000,B,Alexzander,2,514,  514=
2000,B,Amar,2,514,  514=
2000,B,Amin,2,514,  514=
2000,B,Amrit,2,514,  514=
2000,B,Andy,2,514,  514=
2000,B,Antoine,2,514,  514=
2000,B,Aqeel,2,514,  514=
2000,B,Aqib,2,514,  514=
2000,B,Areeb,2,514,  514=
2000,B,Argyle,2,514,  514=
2000,B,Arun,2,514,  514=
2000,B,Aryaan,2,514,  514=
2000,B,Aryn,2,514,  514=
2000,B,Asim,2,514,  514=
2000,B,Atholl,2,514,  514=
2000,B,Azeem,2,514,  514=
2000,B,Barclay,2,514,  514=
2000,B,Barnaby,2,514,  514=
2000,B,Barrie,2,514,  514=
2000,B,Bayley,2,514,  514=
2000,B,Bobbie,2,514,  514=
2000,B,Bran,2,514,  514=
2000,B,Brandan,2,514,  514=
2000,B,Brandon-Lee,2,514,  514=
